-95,-0.05488,-0.12564,0.11276,-0.12074
-45,0.01314,0.06885,-0.10472,-0.09218
-35,-0.10897,-0.03764,0.07866,-0.06496
-25,-0.06897,-0.13851,-0.02492,-0.05874
-15,-0.1008,0.06573,0.10428,-0.08136
-5,-0.06786,0.07753,0.14347,-0.06601
-3,0.15303,-0.13105,0.02454,-0.15097
-1,0.65176,0.50456,-0.258,0.63459
0,3.01226,2.63991,0.25438,3.41319
1,2.74683,2.70275,2.34243,2.79681
2,2.51853,2.46311,2.56335,2.50754
3,2.43985,2.33649,2.82279,2.29725
4,2.34252,2.48681,2.53551,2.25815
5,2.18578,2.10781,2.12078,2.13659
6,1.96847,2.18463,2.0121,2.05151
7,2.03081,2.01192,2.13263,1.99933
8,1.90225,1.95418,2.25197,1.9315
9,1.83969,1.95379,2.11495,1.90139
10,1.80282,1.7617,1.98512,1.78824
11,1.8776,1.73327,1.89078,1.87231
12,1.6633,1.67547,1.79995,1.73689
13,1.69682,1.8149,1.70718,1.74867
14,1.62427,1.54888,1.67749,1.6399
15,1.77066,1.6659,1.73671,1.64509
16,1.56196,1.86416,1.54587,1.64369
17,1.57733,1.50545,1.60703,1.47677
18,1.53088,1.62709,1.76895,1.49024
19,1.56142,1.50618,1.58462,1.48951
20,1.64899,1.45698,1.50169,1.62556
21,1.50544,1.57956,1.52413,1.49241
22,1.58826,1.67991,1.58186,1.52277
23,1.45343,1.58242,1.50532,1.50231
24,1.50262,1.33502,1.34715,1.39531
25,1.43254,1.50966,1.46885,1.41911
30,1.41585,1.25779,1.41191,1.365
35,1.36757,1.23606,1.2669,1.31066
40,1.28872,1.36479,1.24446,1.32243
45,1.11939,1.08261,1.17166,1.35192
50,1.26363,1.24185,1.35763,1.43688
55,1.19463,1.24573,1.23538,1.26449
60,1.41413,1.30073,1.18838,1.18254
65,1.19092,1.12686,1.20439,1.15163
70,1.10588,1.24741,1.27657,1.13804
75,1.24597,1.17015,1.18179,1.14028
80,1.10614,1.14664,0.75897,1.23839
85,1.21836,1.24791,1.05373,1.24925
90,1.09829,1.17934,1.07974,1.25132
95,1.25552,0.8954,1.06675,1.15348
100,1.13314,1.20061,0.88509,1.09522
105,1.09459,1.1849,1.18993,1.15936
130,1.06546,1.06696,1.10869,1.15302
155,1.06253,1.00389,1.23851,0.93806
180,1.04786,0.99001,1.239,1.19609
205,0.98009,1.02066,0.80118,0.9805
230,1.0248,1.14899,1.00099,1.04684
255,1.07221,0.98643,0.95735,0.92073
280,1.1103,1.02364,1.11677,0.93864
305,0.97469,1.07898,1.06438,0.98209
330,0.99384,1.06535,0.95332,0.96618
355,0.92349,1.00629,1.40024,0.89574
380,0.95608,0.92247,0.87851,1.01103
405,0.87831,0.8374,0.88829,0.97476
430,0.88831,0.92546,1.21124,0.86017
455,1.02856,0.90033,0.98093,0.9027
480,0.84919,0.94539,1.23006,0.92115
505,0.9494,0.94738,1.08682,0.92606
555,0.89161,0.9039,0.95414,0.85767
605,0.98948,0.98876,0.86515,0.91619
655,0.86415,1.11543,0.77339,0.83812
705,0.84414,0.89321,0.97822,0.89003
755,0.85706,0.84101,0.95712,0.8055
805,0.80627,1.00281,0.72032,0.89281
855,1.00877,0.84943,0.93775,0.79096
905,0.76449,1.03676,0.94348,0.75223
955,0.81809,0.97913,0.9266,0.84906
1005,0.9505,0.83541,0.93546,0.77525
1255,0.77081,0.88127,1.15939,0.80535
1505,0.85794,1.11656,0.96004,0.84365
1755,0.84938,0.84161,0.84282,0.64888
2005,0.65878,0.84966,0.82416,0.66935
2255,0.83199,0.82459,0.6964,0.60822
2505,0.92933,0.93262,1.06059,0.62178
2755,0.85017,0.66182,1.1202,0.6759
3005,0.77737,0.76054,0.92116,0.64715
3255,0.70239,0.8758,0.75172,0.6791
3505,0.69979,0.89056,0.6365,0.52417
3755,0.78269,1.01239,0.81379,0.5167
4005,0.73546,0.70809,0.6926,0.47205
4255,0.78595,0.78179,0.77082,0.5916
4505,0.69952,0.64822,0.94794,0.548
4755,0.89286,0.81154,0.77993,0.60734
5005,0.68649,0.79142,1.02087,0.58331
5255,0.59205,0.68371,0.86962,0.46446
5505,0.53996,0.72218,0.67071,0.56117
5755,0.66487,0.86722,0.71442,0.55155
6005,0.59927,0.68955,0.91257,0.53101
6505,0.58624,0.69184,0.74141,0.46334
7005,0.63562,0.78007,0.85132,0.39731
7505,0.63076,0.65945,0.47448,0.43436
8005,0.56434,0.61957,0.83978,0.52063
9005,0.60177,0.57119,0.75622,0.43934
10005,0.56528,0.84309,0.55507,0.49645
12005,0.53645,0.8313,0.73771,0.38028
14005,0.37264,0.48774,0.89147,0.37761
16005,0.37175,0.59494,0.71427,0.28123
18005,0.38781,0.50684,0.61082,0.19781
20005,0.41447,0.46662,0.50423,0.28354
22005,0.24703,0.36239,0.45571,0.25588
24005,0.23713,0.34028,0.66247,0.20931
30005,0.23991,0.3139,0.42137,0.28108
35005,0.14004,0.3264,0.46539,0.16918
40005,0.23448,0.29199,0.54447,0.14908
45005,0.24858,0.26615,0.40229,0.13855
50005,0.11109,0.23708,0.31094,0.16415
60005,0.15044,0.14467,0.37948,-0.03473
70005,0.15868,0.21357,0.27953,-0.02125
80005,0.01082,0.13014,0.30349,0.05759
90005,0.04594,0.0821,0.18837,-0.05537
100005,0.08555,0.15279,0.02906,0.04394
120005,0.00842,-0.05286,-0.1349,0.03966
140005,-0.07691,0.19706,0.04545,-0.1008
160005,-0.02349,0.13119,-0.22338,-0.1289
180005,-0.02125,0.05484,0.20874,-0.06238
200005,0.00262,0.01703,0.11362,0.07788
250005,-0.02091,-0.09011,0.17609,0.06725
300005,-0.06018,-0.12567,-0.00514,0.004
