"X","Y","Z"
1,1,0.0024880383
1,2,0.0037052632
1,3,0.0034845735
1,4,0.0028849903
1,5,0.0022857143
1,6,0.0048
1,7,0.0027134503
1,8,0.0044444444
1,9,0.002831216
1,10,0.0023684211
1,11,0.0027530364
1,12,0.0028631579
1,13,0.0021052632
1,14,0.0014035088
1,15,0.0016541353
1,16,0.0010105263
1,17,0.0021052632
1,18,0.0024880383
1,19,0.0016099071
1,20,0.0023604466
1,21,0.0019883041
1,22,0.0019944598
1,23,0.0030676692
1,24,0.0021929825
1,25,0.0025062657
1,26,0.002994152
1,27,0.0041520468
1,28,0.0028210526
1,29,0.0036363636
1,30,0.0028545941
1,31,0.0023550401
1,32,0.0027067669
1,33,0.0022703818
1,34,0.0021052632
1,35,0.0036184211
1,36,0.0020175439
1,37,0.0023268698
1,38,0.0026208378
1,39,0.002537112
1,40,0.0020116959
1,41,0.0029824561
1,42,0.0024327485
1,43,0.0024497608
1,44,0.0028241335
1,45,0.0041447368
1,46,0.002556391
1,47,0.0026134301
1,48,0.0030175439
1,49,0.0038390093
1,50,0.0026927785
1,51,0.0020655412
1,52,0.0013202498
1,53,0.0019694397
1,54,0.0026466165
1,55,0.0009569378
1,56,0.0013495277
1,57,0.0012631579
1,58,0.0025948592
1,59,0.001881299
1,60,0.0015229563
1,61,0.0011866029
1,62,0.0016842105
1,63,0.0022031824
1,64,0.0016842105
1,65,0.0021052632
1,66,0.0026592798
1,67,0.0022132254
1,68,0.0013596491
1,69,0.0018485237
1,70,0.0027290448
1,71,0.0019814241
1,72,0.0026315789
1,73,0.0022714681
1,74,0.0021052632
1,75,0.0032535885
1,76,0.0026315789
1,77,0.0015037594
1,78,0.0016140351
1,79,0.003020595
1,80,0.0026315789
1,81,0.0022966507
1,82,0.0022883295
1,83,0.0034008097
1,84,0.001722488
1,85,0.0019298246
1,86,0.0029984051
1,87,0.0023859649
1,88,0.0024376731
1,89,0.0023897582
1,90,0.0024767802
1,91,0.002537112
1,92,0.0021052632
1,93,0.0029268293
1,94,0.0013909774
1,95,0.0017763158
1,96,0.0020467836
1,97,0.0022807018
1,98,0.0019736842
1,99,0.0025964912
1,100,0.0011578947
2,1,0.0026860254
2,2,0.0034119782
2,3,0.002417154
2,4,0.0025127334
2,5,0.0033552632
2,6,0.0044142615
2,7,0.0025948592
2,8,0.002406015
2,9,0.0033528265
2,10,0.0028482972
2,11,0.0031578947
2,12,0.0032535885
2,13,0.0014404432
2,14,0.0011948791
2,15,0.0026065163
2,16,0.0012759171
2,17,0.0013333333
2,18,0.0013157895
2,19,0.0017153996
2,20,0.0029665072
2,21,0.0022910217
2,22,0.0031578947
2,23,0.0021542228
2,24,0.0032105263
2,25,0.0030075188
2,26,0.0025730994
2,27,0.0030409357
2,28,0.0023923445
2,29,0.0031364125
2,30,0.0034324943
2,31,0.0033603239
2,32,0.0025101215
2,33,0.0042831216
2,34,0.003327674
2,35,0.0030827068
2,36,0.0030877193
2,37,0.0031077694
2,38,0.003562753
2,39,0.0022079589
2,40,0.0023558897
2,41,0.0021052632
2,42,0.0021052632
2,43,0.0034736842
2,44,0.0025
2,45,0.0023057644
2,46,0.002417154
2,47,0.0027368421
2,48,0.0024620874
2,49,0.0024880383
2,50,0.0027894737
2,51,0.0017042607
2,52,0.0022190612
2,53,0.0017982456
2,54,0.0027863777
2,55,0.0017956656
2,56,0.001370869
2,57,0.0015789474
2,58,0.0015560641
2,59,0.0012889366
2,60,0.0021578947
2,61,0.0015560641
2,62,0.0015667075
2,63,0.001343785
2,64,0.00249694
2,65,0.001923775
2,66,0.0018575851
2,67,0.0021553885
2,68,0.0023391813
2,69,0.0021606648
2,70,0.0014619883
2,71,0.0029323308
2,72,0.0026315789
2,73,0.0027586207
2,74,0.0024682396
2,75,0.0022222222
2,76,0.0021052632
2,77,0.0022291022
2,78,0.0015560641
2,79,0.0019512195
2,80,0.0030560272
2,81,0.005380117
2,82,0.0049684211
2,83,0.0026427772
2,84,0.003434903
2,85,0.0023292273
2,86,0.0022105263
2,87,0.0024133504
2,88,0.0023057644
2,89,0.0018776671
2,90,0.0022807018
2,91,0.0034674923
2,92,0.0024148607
2,93,0.0023328592
2,94,0.0026625387
2,95,0.0017763158
2,96,0.0019345661
2,97,0.0018874773
2,98,0.0025263158
2,99,0.0024880383
2,100,0.0024466572
3,1,0.0028070175
3,2,0.0035314092
3,3,0.0031578947
3,4,0.0038277512
3,5,0.0025806452
3,6,0.0023391813
3,7,0.0033889602
3,8,0.0031879699
3,9,0.0023976608
3,10,0.0021621622
3,11,0.00237691
3,12,0.0036090226
3,13,0.0015789474
3,14,0.0019694397
3,15,0.0016541353
3,16,0.0012121212
3,17,0.0021778584
3,18,0.001426146
3,19,0.0025263158
3,20,0.0021052632
3,21,0.0019548872
3,22,0.0023076923
3,23,0.00268757
3,24,0.0033684211
3,25,0.0028832952
3,26,0.0025
3,27,0.0019138756
3,28,0.0030585899
3,29,0.0035964912
3,30,0.0028645384
3,31,0.0021442495
3,32,0.0031578947
3,33,0.0027894737
3,34,0.0027067669
3,35,0.0021052632
3,36,0.0031024931
3,37,0.0026927785
3,38,0.0035087719
3,39,0.0020242915
3,40,0.0024133504
3,41,0.0021052632
3,42,0.0024291498
3,43,0.0023529412
3,44,0.0021052632
3,45,0.0030827068
3,46,0.0023751687
3,47,0.0026526316
3,48,0.0024795322
3,49,0.0022807018
3,50,0.0027530364
3,51,0.0025358852
3,52,0.001902834
3,53,0.0018045113
3,54,0.001722488
3,55,0.0022255639
3,56,0.0015789474
3,57,0.0016066482
3,58,0.001612542
3,59,0.0012759171
3,60,0.0014832536
3,61,0.0018836565
3,62,0.0014272971
3,63,0.0016285998
3,64,0.0024561404
3,65,0.0026208378
3,66,0.0023529412
3,67,0.0023391813
3,68,0.0017309942
3,69,0.0028538012
3,70,0.0023328592
3,71,0.0037052632
3,72,0.0019814241
3,73,0.0016696915
3,74,0.0024561404
3,75,0.0016718266
3,76,0.0021731749
3,77,0.0023026316
3,78,0.0024291498
3,79,0.0017607656
3,80,0.0021491228
3,81,0.0022966507
